aonly_AA	aonly_DA	
307.27	167.28
480.75	206.11
536.74	216.12
634.72	199.12
725.71	187.13
884.7	306.13
987.69	431.14
1234.7	413.14
1447.7	413.14
1890.7	608.15
2160.6	660.15
2718.6	982.16
3121.6	1034.2
3753.6	1159.2
4179.6	1523.2
4952.6	1611.2
5516.6	1868.2
6370.6	1978.2
6810.5	2124.2
7482.5	2298.2
7819.5	2439.2
8159.5	2468.2
8217.5	2612.2
8277.5	2615.2
8259.5	2592.2
7695.5	2563.2
7400.4	2502.2
6538.4	2203.2
6110.4	1931.2
5006.4	1587.2
4472.4	1371.2
3479.4	1189.2
3046.4	943.25
2245.4	539.25
1849.4	492.26
1343.3	448.26
1120.3	451.27
788.32	221.27
665.3	221.28
492.29	175.28
426.28	139.29
311.27	148.29
485.75	161.12
542.74	188.13
621.72	165.13
720.71	135.14
873.7	253.14
988.69	353.14
1249.7	429.15
1456.7	466.15
1894.7	604.16
2167.6	624.16
2712.6	987.17
3106.6	1103.2
3733.6	1188.2
4185.6	1408.2
4940.6	1656.2
5494.6	1758.2
6382.6	2016.2
6828.5	2097.2
7541.5	2235.2
7788.5	2460.2
8145.5	2537.2
8197.5	2627.2
8248.5	2636.2
8204.5	2595.2
7708.5	2558.2
7390.4	2325.2
6512.4	2048.2
6114.4	1818.2
5016.4	1629.2
4468.4	1396.2
3484.4	1087.3
3020.4	939.26
2263.4	641.26
1858.4	494.27
1350.3	422.27
1116.3	380.28
794.32	210.28
668.3	193.28
501.29	207.29
421.28	152.29
309.27	117.3
483.75	166.13
543.74	181.13
625.72	151.14
725.71	154.14
871.7	225.15
984.69	302.15
1243.7	389.16
1460.7	446.16
1897.7	533.17
