donly_DD	donly_DA	
13408	1845.4
17071	2318.4
18454	2417.4
22978	2854.4
24073	3113.4
29109	3360.4
29404	3826.4
33666	4053.4
34216	4242.4
35574	4470.4
36978	4442.4
36635	4478.5
36308	4315.5
33940	4034.5
32902	3829.5
28678	3616.5
27207	3416.5
21569	2363.5
19747	2021.5
14596	1618.5
12897	1350.5
9080.4	949.5
7762.5	898.5
5212.5	495.51
4579.6	423.51
3215.7	305.51
2882.8	335.52
2072.8	317.52
1810.9	278.53
1371	285.53
2356.2	141.37
2498.3	421.37
3013.3	416.37
3317.4	394.38
4258.5	491.38
4487.5	598.39
6065.6	643.39
6642.7	828.4
8870.7	1016.4
9512.8	1143.4
12829	1370.4
13423	1614.4
17281	2044.4
18688	2404.4
23449	2783.4
24104	3106.4
29267	3333.4
29809	3831.4
34141	4096.4
34325	4243.4
35836	4444.5
37397	4526.5
37004	4413.5
36615	4277.5
34574	4157.5
32914	4003.5
29183	3410.5
27173	3153.5
21809	2565.5
20015	2216.5
14659	1736.5
13138	1489.5
9195.4	1086.5
7990.5	1087.5
5263.5	585.51
4641.6	547.52
3312.7	397.52
2900.7	406.53
2072.8	334.53
1847.9	294.54
1436.9	229.54
2412.2	137.37
2457.2	374.38
3160.3	357.38
3348.4	374.39
4168.4	518.39
4570.5	567.4
6187.6	722.4
6571.6	782.4
8818.7	905.41
9392.8	1075.4
12874	1294.4
13420	1505.4
17572	1955.4
18671	2328.4
23505	2814.4
24376	3013.4
29340	3425.4
30111	3653.4
34591	4134.5
34635	4239.5
35900	4390.5
37197	4623.5
36965	4491.5
36720	4476.5
35086	4298.5
33074	4136.5
29522	3367.5
27134	3121.5
21908	2772.5
20125	2544.5
14764	1766.5
13119	1683.5
9130.4	1093.5
8151.4	1045.5
5336.5	679.52
4655.6	632.53
3302.6	475.53
2958.7	440.54
2101.8	333.54
1954.8	263.54
1468.9	163.55
2383.1	286.38
2486.2	283.39
3189.3	313.39
3454.3	423.39
4229.4	490.4
4648.5	567.4
6233.5	817.41
6539.6	857.41
8801.7	1008.4
9372.7	1134.4
12893	1359.4
13558	1656.4
17707	2225.4
18822	2302.4
23238	3036.4
24780	3109.4
29399	3501.5
29965	3524.5
34399	4070.5
34947	4340.5
36028	4405.5
37130	4587.5
36998	4611.5
36865	4599.5
34992	4404.5
33463	4109.5
29394	3620.5
27424	3543.5
21825	2647.5
19986	2354.5
14683	1665.5
13053	1485.5
9207.3	1044.5
8024.4	1009.5
5429.5	711.53
4655.5	578.53
3307.6	423.54
2967.7	363.54
2146.7	291.55
1934.8	221.55
1401.9	176.56
2371.1	273.39
2470.2	275.39
3141.2	358.4
3398.3	401.4
4322.4	527.41
4775.4	649.41
6059.5	740.42
6597.6	798.42
8946.6	1211.4
9575.7	1289.4
13101	1346.4
13669	1887.4
17565	2158.4
19179	2377.4
23684	2919.5
24785	3323.5
29388	3551.5
30602	3608.5
32725	3955.5
34815	4276.5
36106	4378.5
37444	4488.5
37324	4608.5
37217	4430.5
34885	4258.5
33607	3871.5
29554	3487.5
27578	3320.5
22040	2615.5
20324	2410.5
14794	1907.5
13362	1727.5
9275.3	1079.5
7894.4	1012.5
5425.4	701.54
4792.5	518.54
3389.6	438.55
2975.6	280.55
2141.7	269.56
1925.8	263.56
1397.8	258.56
2442.1	292.4
2527.1	285.4
3129.2	318.41
3366.3	391.41
4402.3	453.41
4875.4	585.42
6259.5	886.42
6625.5	971.43
8929.6	1170.4
9688.7	1239.4
13210	1497.4
13707	1698.4
17392	2165.4
19130	2458.5
23714	2928.5
24951	3326.5
29691	3617.5
30520	3763.5
33927	3959.5
34984	4318.5
36048	4335.5
37585	4438.5
37626	4578.5
37660	4440.5
35067	4118.5
33667	3695.5
29885	3390.5
27608	3289.5
21980	2637.5
20023	2206.5
15150	1817.5
13384	1460.5
9346.3	1047.5
7951.3	955.54
5536.4	751.55
4711.5	558.55
3307.5	402.56
2966.6	317.56
2038.7	297.56
1750.7	251.57
1418.8	219.57
2483	297.41
2589.1	308.41
3152.2	272.41
3360.2	406.42
4482.3	444.42
4838.4	533.43
6238.4	874.43
6744.5	1000.4
8934.6	1091.4
9666.7	1204.4
13164	1500.4
13780	1635.5
17447	2165.5
19095	2415.5
23723	2781.5
25132	3229.5
29814	3514.5
30416	3751.5
34903	4081.5
35318	4356.5
37417	4404.5
38154	4480.5
37869	4524.5
37585	4506.5
35561	4287.5
33892	4040.5
29885	3535.5
27613	3369.5
22116	2555.5
20114	2153.5
15243	1686.5
13439	1430.5
9367.2	1103.5
8097.3	975.55
5461.4	758.55
4708.4	613.56
3371.5	384.56
2989.6	369.57
2111.6	291.57
1780.7	244.58
1493.8	213.58
2363	307.41
2581.1	330.42
3211.1	289.42
3438.2	429.43
4494.3	477.43
4811.4	542.44
6155.4	689.44
6817.5	884.44
